4_4_0_10_0.3_218	4	4	1	1	30	10	0.3	6	R1	11	G	1	S1	13	L	5	A1	12	A2	14	2	A1	[('get_sample_data', 'A1')]	A2	[('get_sample_data', 'A2')]	16	None	3.06576031418	None	4.35918522806	10	6.3073207475	None	9.83316369725	None	2.90323702784	None	5.6044338401	None	8.89751681369	None	5.7855942968	None	0.50286594402	15	1.6676146563	4	2.85918495178	None	7.707017824	None	8.10752116265	None	2.90432553795	None	7.40867316216	None	8.2182024207
4_4_1_10_0.3_231	4	4	1	1	30	10	0.3	6	R1	1	G	14	S1	13	L	4	A1	10	A2	9	2	A1	[('get_sample_data', 'A1')]	A2	[('get_sample_data', 'A2')]	16	12	3.7516839736	None	7.04001260827	None	3.64081884315	15	6.42557531999	None	0.638812513993	None	2.52601212795	None	4.35482451656	None	5.81824254561	None	8.72839304799	None	4.41133203246	6	0.890166914823	None	6.45329160815	None	3.05991485583	None	1.57435437674	None	9.8536486799	7	1.27251307988
4_4_2_10_0.3_242	4	4	1	1	30	10	0.3	6	R1	7	G	9	S1	4	L	1	A1	15	A2	12	2	A1	[('get_sample_data', 'A1')]	A2	[('get_sample_data', 'A2')]	16	None	6.4989740073	None	5.69486660825	None	4.83854935148	None	9.1729415249	10	8.84018257569	None	6.57121868086	6	5.87199898188	None	8.01720388074	None	0.506311884817	None	6.86359569995	None	2.78334488106	2	5.67328874877	None	2.77615327363	None	3.21179370595	8	5.76248532689	13	9.05316297517
4_4_3_10_0.3_252	4	4	1	1	30	10	0.3	6	R1	6	G	14	S1	11	L	5	A1	8	A2	3	2	A1	[('get_sample_data', 'A1')]	A2	[('get_sample_data', 'A2')]	16	1	6.09281574968	1	7.89821902644	None	4.7203954776	None	4.83323557538	2	0.706431710182	10	3.52538898318	10	3.96793950472	None	4.72811256369	None	3.99906298227	None	4.39743931913	None	4.18696286224	None	9.98944389742	None	8.71579990009	7	7.96900456192	15	7.7601984299	None	2.54356440888
4_4_4_10_0.3_264	4	4	1	1	30	10	0.3	6	R1	4	G	8	S1	7	L	1	A1	15	A2	10	2	A1	[('get_sample_data', 'A1')]	A2	[('get_sample_data', 'A2')]	16	None	0.964070013213	5	1.31803259437	None	1.10661624007	None	3.16933024467	None	0.0223290315897	None	7.0774147044	16	2.42086659227	None	0.471363726518	2	9.82345160999	None	5.41613514413	12	2.57537003983	None	7.95418759208	None	2.75566226444	None	0.139659502525	5	3.14406839216	None	9.97342035022
4_4_5_10_0.3_274	4	4	1	1	30	10	0.3	6	R1	12	G	6	S1	3	L	4	A1	16	A2	1	2	A1	[('get_sample_data', 'A1')]	A2	[('get_sample_data', 'A2')]	16	14	8.61399804712	None	4.60245791351	None	1.50481102381	None	1.40464140646	8	3.6949583917	None	2.3798367261	8	8.53175596512	None	6.63269698313	None	0.791170768855	13	3.85808303396	5	4.40452951471	None	3.07120766974	None	8.83201501289	None	0.830993573028	None	7.45289167203	None	6.99631745347
4_4_6_10_0.3_287	4	4	1	1	30	10	0.3	6	R1	8	G	3	S1	7	L	16	A1	9	A2	2	2	A1	[('get_sample_data', 'A1')]	A2	[('get_sample_data', 'A2')]	16	None	2.82280763435	1	5.61276885133	15	3.17236391094	5	1.15708118703	None	5.54378340005	10	3.18803458416	None	2.79547089337	1	0.427049029722	None	6.37677721959	None	7.89724801688	None	7.91082985807	None	7.54368508611	None	4.65350018984	None	6.16074709017	12	1.76806572212	14	7.39138395194
4_4_7_10_0.3_297	4	4	1	1	30	10	0.3	6	R1	11	G	4	S1	1	L	10	A1	3	A2	2	2	A1	[('get_sample_data', 'A1')]	A2	[('get_sample_data', 'A2')]	16	None	8.76646727873	12	6.03924354291	None	1.5149730666	None	7.51759586662	8	8.26182873215	13	5.7213506566	None	6.34199732595	None	8.19585267921	None	5.1293792339	14	8.53817262869	13	1.6331632619	None	7.11514005407	None	9.88742185053	None	8.25864450148	6	0.0359474505636	None	9.24000032807
4_4_8_10_0.3_308	4	4	1	1	30	10	0.3	6	R1	15	G	6	S1	10	L	7	A1	12	A2	9	2	A1	[('get_sample_data', 'A1')]	A2	[('get_sample_data', 'A2')]	16	None	0.601725567631	16	2.88314645653	8	9.1482283186	None	8.63936726311	None	9.93309730931	None	8.28819515754	None	6.29542207587	None	5.42001318904	13	0.160639178677	None	2.01857135496	4	0.625678423323	None	6.17607231356	None	6.43909782517	None	3.4515518257	None	0.929422441087	3	6.5456686555
4_4_9_10_0.3_318	4	4	1	1	30	10	0.3	6	R1	5	G	3	S1	7	L	16	A1	11	A2	6	2	A1	[('get_sample_data', 'A1')]	A2	[('get_sample_data', 'A2')]	16	None	2.77807492001	None	5.65208296218	None	5.59278527028	None	7.91590734724	None	5.49929210297	None	8.96868520791	None	3.38305273018	10	3.73964661925	14	9.55995862036	1	2.52904402664	2	3.004747555	2	4.26445301929	None	8.21684887988	10	3.52041669341	2	4.52980451086	None	0.847642627504
